40000000	0.0307188 2.88184
126000000	0.0960792 2.86632
212000000	0.160542 2.90066
298000000	0.224512 2.9098
384000000	0.287326 2.93636
470000000	0.354998 2.96241
556000000	0.417122 2.93991
642000000	0.480836 2.94531
728000000	0.547446 2.9476
814000000	0.61187 2.96167
