10192	1215534473 261650341 1130308798 261650338
10256	1.23107e+09 264944144	1144771671 264944139
10320	1246261795 268263500 1158882179 268263493
10384	1261988226 271598503 1173526097 271598496
10448	1277372662 274959190 1187812228 274959183
10512	1.29329e+09 278335413 1202637234 278335408
10576	1308867043 281737389 1217098911 281737382
10640	1324982444 285154867 1232105031 285154860
10704	1340744985 288598129 1246742275 288598122
10768	1357054856 292056847 1261929481 292056840
10832	1373006486 295541404 1276742318 295541397
10896	1389510810 299041351 1292110593 299041344
10960	1405651517 302567201 1307099011 302567194
11024	1422350332 306108398 1322648393 306108391
11088	1438680101 309675552 1337812377 309675545
11152	1455573380 313257970 1353542839 313257963
11216	1472092228 316866432 1368882406 316866425
11280	1489179991 320490085 1384793968 320490078
