10192	482046989 134366465 382981498 134366465
10256	488099321	136048846 387783510 136048846
10320	4.94118e+08 137742920 392544158 137742919
10384	5.00253e+08 139445797 397413371 139445796
10448	506448216	141221026 402334499 141221024
10512	513118773	142965134 407741761 142965134
10576	519164241	144702523 412498218 144702521
10640	525410658	146448121 417447491 146448119
10704	531695727	148204805 422427405 148204803
10768	538051204	149971447 427469951 149971445
10832	544369305	151749827 432467520 151749825
10896	550808016	153536988 437577727 153536986
10960	557307713	155399429 442740731 155399427
11024	564304112	157228735 448412114 157228733
11088	570643034	159050445 453399434 159050443
11152	577190938	160880297 458587593 160880295
11216	583777541	162721255 463806426 162721253
11280	590436072	164572133 469089410 164572131
