10192	146100680 22500374 44637720 22500374
10256	148018752	22778428 45276394 22778428
10320	1.49754e+08 2.3059e+07 45723969 23058952
10384	151662733 23340348 46337586 23340347
10448	153646762	23685410 47018132 23685409
10512	1.56083e+08	2.39909e+07 48162245 23990859
10576	157864317	24278812 48624510 24278811
10640	159655335	24568049 49088227 24568048
10704	161626516	24858616 49723870 24858615
10768	163439578	25151497 50193444 25151496
10832	165391386	25445812 50793987 25445811
10896	167267664	25741842 51310742 25741841
10960	169242240	26039558 51917927 26039557
11024	171140200	26339012 52440342 26339011
11088	173005187	26640613 52921924 26640612
11152	175056964	26943046 53582184 26943045
11216	176942698	27247877 54068254 27247876
11280	179052747	27553650 54770771 27553649
