10192	725950258	148642747 631587943 148642745
10256	735567397	150511152 640027901 150511150
10320	744533544	1.52379e+08 647794183 152379463
10384	753552424	154256006 655605616 154256001
10448	762890259	156203514 663728614 156203509
10512	772748273	158118686 672379976 158118684
10576	781937543	160033504 680339525 160033499
10640	791179516	161956444 688344195 161956439
10704	800746946	163951823 696666933 163951818
10768	810845798	165913783 705529658 165913778
10832	820258195	167875079 713682481 167875074
10896	829723254	169844420 721880380 169844415
10960	839520291	171887672 730402870 171887667
11024	849860020	173896431 739476999 173896426
11088	859495553	175904214 747823103 175904209
11152	869183748	177919982 7.56214e+08 177919978
11216	879210340	180011096 764936471 180011091
11280	889790881	182066612 774221939 182066607      
